Player,Team,Positions,GP,MIN,FGM,FGA,FG%,FTM,FTA,FT%,3PM,PTS,REB,AST,STL,BLK,TO
Zach LaVine,CHI,SG/SF,68,35.5,7.4,16.2,0.456,4.0,4.7,0.858,2.6,21.4,5.5,4.2,0.9,0.3,2.2
Jimmy Butler,MIA,SF/PF,66,34.5,7.0,13.9,0.502,7.0,8.1,0.862,1.1,22.1,5.5,5.3,1.4,0.4,1.8
Kawhi Leonard,LAC,SG/SF,70,34.8,9.2,17.4,0.528,4.3,4.8,0.888,2.3,25.0,6.4,3.8,1.7,1.0,1.9
Kyrie Irving,DAL,PG/SG,70,35.5,9.8,19.6,0.5,3.7,4.1,0.908,3.2,26.5,5.2,5.5,1.4,0.5,1.9
Damian Lillard,MIL,PG,75,35.8,7.7,17.9,0.428,7.3,7.9,0.924,3.4,26.1,4.6,7.4,1.1,0.3,2.7
Gradey Dick,TOR,SG/SF,74,30.5,5.8,13.5,0.43,2.4,2.8,0.857,2.6,16.6,3.4,2.1,0.9,0.2,1.6
Nick Richards,CHA,C,66,25.0,3.9,5.9,0.661,2.1,2.8,0.75,0.0,9.9,8.8,1.0,0.4,1.3,1.3
Andre Drummond,PHI,C,75,21.0,3.6,6.5,0.554,1.6,2.8,0.571,0.0,8.8,9.6,1.1,1.1,0.9,1.6
Luke Kennard,MEM,PG/SG,65,24.0,3.7,8.2,0.451,0.9,1.0,0.9,2.7,11.0,2.8,3.3,0.5,0.1,1.0
Malik Beasley,DET,SG/SF,78,27.5,4.9,11.5,0.426,1.2,1.5,0.8,3.1,14.1,3.4,1.6,0.8,0.1,1.1
Rui Hachimura,LAL,SF/PF,70,28.0,5.2,10.4,0.5,1.8,2.4,0.75,1.5,13.7,5.3,1.4,0.6,0.4,1.1
Royce ONeale,PHX,SG/SF,76,25.5,3.0,7.4,0.405,0.7,1.0,0.7,2.1,8.8,4.6,2.6,1.0,0.5,1.1
Corey Kispert,WAS,SG/SF,75,27.0,4.8,10.5,0.457,1.6,2.0,0.8,2.3,13.5,3.0,1.8,0.6,0.2,1.1
Kel’el Ware,MIA,C,62,19.5,3.6,6.8,0.529,1.4,2.0,0.7,0.5,9.1,6.5,0.9,0.4,1.4,1.0
Santi Aldama,MEM,PF/C,72,26.0,4.5,10.2,0.441,1.5,2.0,0.75,1.8,12.3,6.2,2.4,0.7,0.8,1.2
Alperen Sengun Backup (Jock Landale),HOU,C,60,16.0,2.6,5.0,0.52,1.4,1.8,0.778,0.3,6.9,4.8,1.4,0.4,0.7,0.8
Aaron Wiggins,OKC,SG/SF,75,22.0,4.1,7.6,0.539,1.2,1.5,0.8,1.3,10.7,3.5,1.6,0.8,0.3,0.8
Jose Alvarado,NOP,PG,65,21.0,3.2,7.8,0.41,1.0,1.3,0.769,1.5,8.9,2.5,3.2,1.5,0.2,1.1
De’Andre Hunter,ATL,SF/PF,68,29.0,5.4,11.8,0.458,3.0,3.5,0.857,2.1,15.9,4.0,1.6,0.8,0.3,1.4
Grant Williams,CHA,PF/C,70,27.0,3.6,8.0,0.45,1.8,2.3,0.783,1.8,10.8,5.2,2.4,0.8,0.5,1.4
